Aerial                         @2.2.6          aqua/Aerial
qt4-mac-postgresql81-plugin    @4.8.7          aqua/qt4-mac-postgresql91-plugin
qt4-mac-postgresql82-plugin    @4.8.7          aqua/qt4-mac-postgresql91-plugin
qt4-mac-postgresql83-plugin    @4.8.7          aqua/qt4-mac-postgresql91-plugin
qt4-mac-postgresql84-plugin    @4.8.7          aqua/qt4-mac-postgresql91-plugin
qt4-mac-postgresql90-plugin    @4.8.7          aqua/qt4-mac-postgresql91-plugin
qt4-mac-postgresql92-plugin    @4.8.7          aqua/qt4-mac-postgresql91-plugin
qt4-mac-sqlite2-plugin         @4.8.7          aqua/qt4-mac-sqlite2-plugin
qt4-mac-sqlite3-plugin         @4.8.7          aqua/qt4-mac-sqlite2-plugin
qt5                            @5.15.2         aqua/qt5
qt5-qtquickcontrols2           @5.15.2         aqua/qt5
qt5-qtquickcontrols2-docs      @5.15.2         aqua/qt5
qt5-qtbase                     @5.15.2         aqua/qt5
qt5-qtbase-docs                @5.15.2         aqua/qt5
qt5-qtwebengine                @5.15.2         aqua/qt5
qt5-qtwebengine-docs           @5.15.2         aqua/qt5
qt5-qtquicktimeline            @5.15.2         aqua/qt5
qt5-qtquicktimeline-docs       @5.15.2         aqua/qt5
qt5-qtquick3d                  @5.15.2         aqua/qt5
qt5-qtquick3d-docs             @5.15.2         aqua/qt5
qt5-qtdeclarative              @5.15.2         aqua/qt5
qt5-qtdeclarative-docs         @5.15.2         aqua/qt5
qt5-qtserialport               @5.15.2         aqua/qt5
qt5-qtserialport-docs          @5.15.2         aqua/qt5
qt5-qtsensors                  @5.15.2         aqua/qt5
qt5-qtsensors-docs             @5.15.2         aqua/qt5
qt5-qtcharts                   @5.15.2         aqua/qt5
qt5-qtcharts-docs              @5.15.2         aqua/qt5
qt5-qtwebkit                   @5.9.2          aqua/qt5
qt5-qtwebkit-docs              @5.9.2          aqua/qt5
qt5-qtdoc                      @5.15.2         aqua/qt5
qt5-qtwebchannel               @5.15.2         aqua/qt5
qt5-qtwebchannel-docs          @5.15.2         aqua/qt5
qt5-qtimageformats             @5.15.2         aqua/qt5
qt5-qtimageformats-docs        @5.15.2         aqua/qt5
qt5-qtwebglplugin              @5.15.2         aqua/qt5
qt5-qtvirtualkeyboard          @5.15.2         aqua/qt5
qt5-qtvirtualkeyboard-docs     @5.15.2         aqua/qt5
qt5-qtsvg                      @5.15.2         aqua/qt5
qt5-qtsvg-docs                 @5.15.2         aqua/qt5
qt5-qtmacextras                @5.15.2         aqua/qt5
qt5-qtmacextras-docs           @5.15.2         aqua/qt5
qt5-qtlocation                 @5.15.2         aqua/qt5
qt5-qtlocation-docs            @5.15.2         aqua/qt5
qt5-qtlottie                   @5.15.2         aqua/qt5
qt5-qtlottie-docs              @5.15.2         aqua/qt5
qt5-qtxmlpatterns              @5.15.2         aqua/qt5
qt5-qtxmlpatterns-docs         @5.15.2         aqua/qt5
qt5-qtserialbus                @5.15.2         aqua/qt5
qt5-qtserialbus-docs           @5.15.2         aqua/qt5
qt5-qtmultimedia               @5.15.2         aqua/qt5
qt5-qtmultimedia-docs          @5.15.2         aqua/qt5
qt5-qtdatavis3d                @5.15.2         aqua/qt5
qt5-qtdatavis3d-docs           @5.15.2         aqua/qt5
qt5-qtgraphicaleffects         @5.15.2         aqua/qt5
qt5-qtgraphicaleffects-docs    @5.15.2         aqua/qt5
qt5-qtpurchasing               @5.15.2         aqua/qt5
qt5-qtpurchasing-docs          @5.15.2         aqua/qt5
qt5-qtnetworkauth              @5.15.2         aqua/qt5
qt5-qtnetworkauth-docs         @5.15.2         aqua/qt5
qt5-qtscript                   @5.15.2         aqua/qt5
qt5-qtscript-docs              @5.15.2         aqua/qt5
qt5-qtremoteobjects            @5.15.2         aqua/qt5
qt5-qtremoteobjects-docs       @5.15.2         aqua/qt5
qt5-qtscxml                    @5.15.2         aqua/qt5
qt5-qtscxml-docs               @5.15.2         aqua/qt5
qt5-qt3d                       @5.15.2         aqua/qt5
qt5-qt3d-docs                  @5.15.2         aqua/qt5
qt5-qtconnectivity             @5.15.2         aqua/qt5
qt5-qtconnectivity-docs        @5.15.2         aqua/qt5
qt5-qtgamepad                  @5.15.2         aqua/qt5
qt5-qtgamepad-docs             @5.15.2         aqua/qt5
qt5-qtspeech                   @5.15.2         aqua/qt5
qt5-qtspeech-docs              @5.15.2         aqua/qt5
qt5-qtwebview                  @5.15.2         aqua/qt5
qt5-qtwebview-docs             @5.15.2         aqua/qt5
qt5-qttools                    @5.15.2         aqua/qt5
qt5-qttools-docs               @5.15.2         aqua/qt5
qt5-qtquickcontrols            @5.15.2         aqua/qt5
qt5-qtquickcontrols-docs       @5.15.2         aqua/qt5
qt5-qtwebsockets               @5.15.2         aqua/qt5
qt5-qtwebsockets-docs          @5.15.2         aqua/qt5
qt5-qtwebkit-examples          @5.9.1          aqua/qt5
qt5-qttranslations             @5.15.2         aqua/qt5
qt5-mysql-plugin               @5.15.2         aqua/qt5
qt5-psql-plugin                @5.15.2         aqua/qt5
qt5-sqlite-plugin              @5.15.2         aqua/qt5
qt5-docs                       @5.15.2         aqua/qt5
qt5-qtquick1                   @5.15.2         aqua/qt5
qt5-qtdeclarative-render2d     @5.15.2         aqua/qt5
qt5-qtdeclarative-render2d-docs @5.15.2         aqua/qt5
qt5-qtcanvas3d                 @5.15.2         aqua/qt5
qt5-qtcanvas3d-docs            @5.15.2         aqua/qt5
qt5-qtenginio                  @5.15.2         aqua/qt5
qt5-qtenginio-docs             @5.15.2         aqua/qt5
qt511                          @5.11.3         aqua/qt511
qt511-qtquickcontrols2         @5.11.3         aqua/qt511
qt511-qtquickcontrols2-docs    @5.11.3         aqua/qt511
qt511-qtbase                   @5.11.3         aqua/qt511
qt511-qtbase-docs              @5.11.3         aqua/qt511
qt511-qtwebengine              @5.11.3         aqua/qt511
qt511-qtwebengine-docs         @5.11.3         aqua/qt511
qt511-qtdeclarative            @5.11.3         aqua/qt511
qt511-qtdeclarative-docs       @5.11.3         aqua/qt511
qt511-qtserialport             @5.11.3         aqua/qt511
qt511-qtserialport-docs        @5.11.3         aqua/qt511
qt511-qtsensors                @5.11.3         aqua/qt511
qt511-qtsensors-docs           @5.11.3         aqua/qt511
qt511-qtcharts                 @5.11.3         aqua/qt511
qt511-qtcharts-docs            @5.11.3         aqua/qt511
qt511-qtwebkit                 @5.9.1          aqua/qt511
qt511-qtwebkit-docs            @5.9.1          aqua/qt511
qt511-qtdoc                    @5.11.3         aqua/qt511
qt511-qtwebchannel             @5.11.3         aqua/qt511
qt511-qtwebchannel-docs        @5.11.3         aqua/qt511
qt511-qtimageformats           @5.11.3         aqua/qt511
qt511-qtimageformats-docs      @5.11.3         aqua/qt511
qt511-qtwebglplugin            @5.11.3         aqua/qt511
qt511-qtvirtualkeyboard        @5.11.3         aqua/qt511
qt511-qtvirtualkeyboard-docs   @5.11.3         aqua/qt511
qt511-qtsvg                    @5.11.3         aqua/qt511
qt511-qtsvg-docs               @5.11.3         aqua/qt511
qt511-qtmacextras              @5.11.3         aqua/qt511
qt511-qtmacextras-docs         @5.11.3         aqua/qt511
qt511-qtlocation               @5.11.3         aqua/qt511
qt511-qtlocation-docs          @5.11.3         aqua/qt511
qt511-qtxmlpatterns            @5.11.3         aqua/qt511
qt511-qtxmlpatterns-docs       @5.11.3         aqua/qt511
qt511-qtserialbus              @5.11.3         aqua/qt511
qt511-qtserialbus-docs         @5.11.3         aqua/qt511
qt511-qtmultimedia             @5.11.3         aqua/qt511
qt511-qtmultimedia-docs        @5.11.3         aqua/qt511
qt511-qtcanvas3d               @5.11.3         aqua/qt511
qt511-qtcanvas3d-docs          @5.11.3         aqua/qt511
qt511-qtdatavis3d              @5.11.3         aqua/qt511
qt511-qtdatavis3d-docs         @5.11.3         aqua/qt511
qt511-qtgraphicaleffects       @5.11.3         aqua/qt511
qt511-qtgraphicaleffects-docs  @5.11.3         aqua/qt511
qt511-qtpurchasing             @5.11.3         aqua/qt511
qt511-qtpurchasing-docs        @5.11.3         aqua/qt511
qt511-qtnetworkauth            @5.11.3         aqua/qt511
qt511-qtnetworkauth-docs       @5.11.3         aqua/qt511
qt511-qtscript                 @5.11.3         aqua/qt511
qt511-qtscript-docs            @5.11.3         aqua/qt511
qt511-qtremoteobjects          @5.11.3         aqua/qt511
qt511-qtremoteobjects-docs     @5.11.3         aqua/qt511
qt511-qtscxml                  @5.11.3         aqua/qt511
qt511-qtscxml-docs             @5.11.3         aqua/qt511
qt511-qt3d                     @5.11.3         aqua/qt511
qt511-qt3d-docs                @5.11.3         aqua/qt511
qt511-qtconnectivity           @5.11.3         aqua/qt511
qt511-qtconnectivity-docs      @5.11.3         aqua/qt511
qt511-qtgamepad                @5.11.3         aqua/qt511
qt511-qtgamepad-docs           @5.11.3         aqua/qt511
qt511-qtspeech                 @5.11.3         aqua/qt511
qt511-qtspeech-docs            @5.11.3         aqua/qt511
qt511-qtwebview                @5.11.3         aqua/qt511
qt511-qtwebview-docs           @5.11.3         aqua/qt511
qt511-qttools                  @5.11.3         aqua/qt511
qt511-qttools-docs             @5.11.3         aqua/qt511
qt511-qtquickcontrols          @5.11.3         aqua/qt511
qt511-qtquickcontrols-docs     @5.11.3         aqua/qt511
qt511-qtwebsockets             @5.11.3         aqua/qt511
qt511-qtwebsockets-docs        @5.11.3         aqua/qt511
qt511-qtwebkit-examples        @5.9.1          aqua/qt511
qt511-qttranslations           @5.11.3         aqua/qt511
qt511-mysql-plugin             @5.11.3         aqua/qt511
qt511-psql-plugin              @5.11.3         aqua/qt511
qt511-sqlite-plugin            @5.11.3         aqua/qt511
qt511-docs                     @5.11.3         aqua/qt511
qt513                          @5.13.2         aqua/qt513
qt513-qtquickcontrols2         @5.13.2         aqua/qt513
qt513-qtquickcontrols2-docs    @5.13.2         aqua/qt513
qt513-qtbase                   @5.13.2         aqua/qt513
qt513-qtbase-docs              @5.13.2         aqua/qt513
qt513-qtwebengine              @5.13.2         aqua/qt513
qt513-qtwebengine-docs         @5.13.2         aqua/qt513
qt513-qtdeclarative            @5.13.2         aqua/qt513
qt513-qtdeclarative-docs       @5.13.2         aqua/qt513
qt513-qtserialport             @5.13.2         aqua/qt513
qt513-qtserialport-docs        @5.13.2         aqua/qt513
qt513-qtsensors                @5.13.2         aqua/qt513
qt513-qtsensors-docs           @5.13.2         aqua/qt513
qt513-qtcharts                 @5.13.2         aqua/qt513
qt513-qtcharts-docs            @5.13.2         aqua/qt513
qt513-qtwebkit                 @5.9.1          aqua/qt513
qt513-qtwebkit-docs            @5.9.1          aqua/qt513
qt513-qtdoc                    @5.13.2         aqua/qt513
qt513-qtwebchannel             @5.13.2         aqua/qt513
qt513-qtwebchannel-docs        @5.13.2         aqua/qt513
qt513-qtimageformats           @5.13.2         aqua/qt513
qt513-qtimageformats-docs      @5.13.2         aqua/qt513
qt513-qtwebglplugin            @5.13.2         aqua/qt513
qt513-qtvirtualkeyboard        @5.13.2         aqua/qt513
qt513-qtvirtualkeyboard-docs   @5.13.2         aqua/qt513
qt513-qtsvg                    @5.13.2         aqua/qt513
qt513-qtsvg-docs               @5.13.2         aqua/qt513
qt513-qtmacextras              @5.13.2         aqua/qt513
qt513-qtmacextras-docs         @5.13.2         aqua/qt513
qt513-qtlocation               @5.13.2         aqua/qt513
qt513-qtlocation-docs          @5.13.2         aqua/qt513
qt513-qtlottie                 @5.13.2         aqua/qt513
qt513-qtlottie-docs            @5.13.2         aqua/qt513
qt513-qtxmlpatterns            @5.13.2         aqua/qt513
qt513-qtxmlpatterns-docs       @5.13.2         aqua/qt513
qt513-qtserialbus              @5.13.2         aqua/qt513
qt513-qtserialbus-docs         @5.13.2         aqua/qt513
qt513-qtmultimedia             @5.13.2         aqua/qt513
qt513-qtmultimedia-docs        @5.13.2         aqua/qt513
qt513-qtdatavis3d              @5.13.2         aqua/qt513
qt513-qtdatavis3d-docs         @5.13.2         aqua/qt513
qt513-qtgraphicaleffects       @5.13.2         aqua/qt513
qt513-qtgraphicaleffects-docs  @5.13.2         aqua/qt513
qt513-qtpurchasing             @5.13.2         aqua/qt513
qt513-qtpurchasing-docs        @5.13.2         aqua/qt513
qt513-qtnetworkauth            @5.13.2         aqua/qt513
qt513-qtnetworkauth-docs       @5.13.2         aqua/qt513
qt513-qtscript                 @5.13.2         aqua/qt513
qt513-qtscript-docs            @5.13.2         aqua/qt513
qt513-qtremoteobjects          @5.13.2         aqua/qt513
qt513-qtremoteobjects-docs     @5.13.2         aqua/qt513
qt513-qtscxml                  @5.13.2         aqua/qt513
qt513-qtscxml-docs             @5.13.2         aqua/qt513
qt513-qt3d                     @5.13.2         aqua/qt513
qt513-qt3d-docs                @5.13.2         aqua/qt513
qt513-qtconnectivity           @5.13.2         aqua/qt513
qt513-qtconnectivity-docs      @5.13.2         aqua/qt513
qt513-qtgamepad                @5.13.2         aqua/qt513
qt513-qtgamepad-docs           @5.13.2         aqua/qt513
qt513-qtspeech                 @5.13.2         aqua/qt513
qt513-qtspeech-docs            @5.13.2         aqua/qt513
qt513-qtwebview                @5.13.2         aqua/qt513
qt513-qtwebview-docs           @5.13.2         aqua/qt513
qt513-qttools                  @5.13.2         aqua/qt513
qt513-qttools-docs             @5.13.2         aqua/qt513
qt513-qtquickcontrols          @5.13.2         aqua/qt513
qt513-qtquickcontrols-docs     @5.13.2         aqua/qt513
qt513-qtwebsockets             @5.13.2         aqua/qt513
qt513-qtwebsockets-docs        @5.13.2         aqua/qt513
qt513-qtwebkit-examples        @5.9.1          aqua/qt513
qt513-qttranslations           @5.13.2         aqua/qt513
qt513-mysql-plugin             @5.13.2         aqua/qt513
qt513-psql-plugin              @5.13.2         aqua/qt513
qt513-sqlite-plugin            @5.13.2         aqua/qt513
qt513-docs                     @5.13.2         aqua/qt513
qt53                           @5.3.2          aqua/qt53
qt53-qtbase                    @5.3.2          aqua/qt53
qt53-qtbase-docs               @5.3.2          aqua/qt53
qt53-qtdeclarative             @5.3.2          aqua/qt53
qt53-qtdeclarative-docs        @5.3.2          aqua/qt53
qt53-qtserialport              @5.3.2          aqua/qt53
qt53-qtserialport-docs         @5.3.2          aqua/qt53
qt53-qtsensors                 @5.3.2          aqua/qt53
qt53-qtsensors-docs            @5.3.2          aqua/qt53
qt53-qtwebkit                  @5.3.2          aqua/qt53
qt53-qtwebkit-docs             @5.3.2          aqua/qt53
qt53-qtdoc                     @5.3.2          aqua/qt53
qt53-qtquick1                  @5.3.2          aqua/qt53
qt53-qtimageformats            @5.3.2          aqua/qt53
qt53-qtimageformats-docs       @5.3.2          aqua/qt53
qt53-qtsvg                     @5.3.2          aqua/qt53
qt53-qtsvg-docs                @5.3.2          aqua/qt53
qt53-qtmacextras               @5.3.2          aqua/qt53
qt53-qtmacextras-docs          @5.3.2          aqua/qt53
qt53-qtlocation                @5.3.2          aqua/qt53
qt53-qtlocation-docs           @5.3.2          aqua/qt53
qt53-qtxmlpatterns             @5.3.2          aqua/qt53
qt53-qtxmlpatterns-docs        @5.3.2          aqua/qt53
qt53-qtgraphicaleffects        @5.3.2          aqua/qt53
qt53-qtgraphicaleffects-docs   @5.3.2          aqua/qt53
qt53-qtmultimedia              @5.3.2          aqua/qt53
qt53-qtmultimedia-docs         @5.3.2          aqua/qt53
qt53-qtscript                  @5.3.2          aqua/qt53
qt53-qtscript-docs             @5.3.2          aqua/qt53
qt53-qtconnectivity            @5.3.2          aqua/qt53
qt53-qtconnectivity-docs       @5.3.2          aqua/qt53
qt53-qttools                   @5.3.2          aqua/qt53
qt53-qttools-docs              @5.3.2          aqua/qt53
qt53-qtenginio                 @5.3.2          aqua/qt53
qt53-qtenginio-docs            @5.3.2          aqua/qt53
qt53-qtquickcontrols           @5.3.2          aqua/qt53
qt53-qtquickcontrols-docs      @5.3.2          aqua/qt53
qt53-qtwebsockets              @5.3.2          aqua/qt53
qt53-qtwebsockets-docs         @5.3.2          aqua/qt53
qt53-qtwebkit-examples         @5.3.2          aqua/qt53
qt53-qttranslations            @5.3.2          aqua/qt53
qt53-mysql-plugin              @5.3.2          aqua/qt53
qt53-psql-plugin               @5.3.2          aqua/qt53
qt53-sqlite-plugin             @5.3.2          aqua/qt53
qt53-docs                      @5.3.2          aqua/qt53
qt55                           @5.5.1          aqua/qt55
qt55-qtbase                    @5.5.1          aqua/qt55
qt55-qtbase-docs               @5.5.1          aqua/qt55
qt55-qtwebengine               @5.5.1          aqua/qt55
qt55-qtwebengine-docs          @5.5.1          aqua/qt55
qt55-qtdeclarative             @5.5.1          aqua/qt55
qt55-qtdeclarative-docs        @5.5.1          aqua/qt55
qt55-qtserialport              @5.5.1          aqua/qt55
qt55-qtserialport-docs         @5.5.1          aqua/qt55
qt55-qtsensors                 @5.5.1          aqua/qt55
qt55-qtsensors-docs            @5.5.1          aqua/qt55
qt55-qtwebkit                  @5.5.1          aqua/qt55
qt55-qtwebkit-docs             @5.5.1          aqua/qt55
qt55-qtquick1                  @5.5.1          aqua/qt55
qt55-qtdoc                     @5.5.1          aqua/qt55
qt55-qtwebchannel              @5.5.1          aqua/qt55
qt55-qtwebchannel-docs         @5.5.1          aqua/qt55
qt55-qtimageformats            @5.5.1          aqua/qt55
qt55-qtimageformats-docs       @5.5.1          aqua/qt55
qt55-qtsvg                     @5.5.1          aqua/qt55
qt55-qtsvg-docs                @5.5.1          aqua/qt55
qt55-qtmacextras               @5.5.1          aqua/qt55
qt55-qtmacextras-docs          @5.5.1          aqua/qt55
qt55-qtlocation                @5.5.1          aqua/qt55
qt55-qtlocation-docs           @5.5.1          aqua/qt55
qt55-qtxmlpatterns             @5.5.1          aqua/qt55
qt55-qtxmlpatterns-docs        @5.5.1          aqua/qt55
qt55-qtcanvas3d                @5.5.1          aqua/qt55
qt55-qtcanvas3d-docs           @5.5.1          aqua/qt55
qt55-qtgraphicaleffects        @5.5.1          aqua/qt55
qt55-qtgraphicaleffects-docs   @5.5.1          aqua/qt55
qt55-qtmultimedia              @5.5.1          aqua/qt55
qt55-qtmultimedia-docs         @5.5.1          aqua/qt55
qt55-qtscript                  @5.5.1          aqua/qt55
qt55-qtscript-docs             @5.5.1          aqua/qt55
qt55-qt3d                      @5.5.1          aqua/qt55
qt55-qt3d-docs                 @5.5.1          aqua/qt55
qt55-qtconnectivity            @5.5.1          aqua/qt55
qt55-qtconnectivity-docs       @5.5.1          aqua/qt55
qt55-qttools                   @5.5.1          aqua/qt55
qt55-qttools-docs              @5.5.1          aqua/qt55
qt55-qtquickcontrols           @5.5.1          aqua/qt55
qt55-qtquickcontrols-docs      @5.5.1          aqua/qt55
qt55-qtenginio                 @5.5.1          aqua/qt55
qt55-qtenginio-docs            @5.5.1          aqua/qt55
qt55-qtwebsockets              @5.5.1          aqua/qt55
qt55-qtwebsockets-docs         @5.5.1          aqua/qt55
qt55-qtwebkit-examples         @5.5.1          aqua/qt55
qt55-qttranslations            @5.5.1          aqua/qt55
qt55-mysql-plugin              @5.5.1          aqua/qt55
qt55-psql-plugin               @5.5.1          aqua/qt55
qt55-sqlite-plugin             @5.5.1          aqua/qt55
qt55-docs                      @5.5.1          aqua/qt55
qt56                           @5.6.3          aqua/qt56
qt56-qtquickcontrols2          @5.6.3          aqua/qt56
qt56-qtquickcontrols2-docs     @5.6.3          aqua/qt56
qt56-qtbase                    @5.6.3          aqua/qt56
qt56-qtbase-docs               @5.6.3          aqua/qt56
qt56-qtwebengine               @5.6.3          aqua/qt56
qt56-qtwebengine-docs          @5.6.3          aqua/qt56
qt56-qtdeclarative             @5.6.3          aqua/qt56
qt56-qtdeclarative-docs        @5.6.3          aqua/qt56
qt56-qtserialport              @5.6.3          aqua/qt56
qt56-qtserialport-docs         @5.6.3          aqua/qt56
qt56-qtsensors                 @5.6.3          aqua/qt56
qt56-qtsensors-docs            @5.6.3          aqua/qt56
qt56-qtwebkit                  @5.6.3          aqua/qt56
qt56-qtwebkit-docs             @5.6.3          aqua/qt56
qt56-qtdoc                     @5.6.3          aqua/qt56
qt56-qtwebchannel              @5.6.3          aqua/qt56
qt56-qtwebchannel-docs         @5.6.3          aqua/qt56
qt56-qtimageformats            @5.6.3          aqua/qt56
qt56-qtimageformats-docs       @5.6.3          aqua/qt56
qt56-qtsvg                     @5.6.3          aqua/qt56
qt56-qtsvg-docs                @5.6.3          aqua/qt56
qt56-qtmacextras               @5.6.3          aqua/qt56
qt56-qtmacextras-docs          @5.6.3          aqua/qt56
qt56-qtlocation                @5.6.3          aqua/qt56
qt56-qtlocation-docs           @5.6.3          aqua/qt56
qt56-qtxmlpatterns             @5.6.3          aqua/qt56
qt56-qtxmlpatterns-docs        @5.6.3          aqua/qt56
qt56-qtserialbus               @5.6.3          aqua/qt56
qt56-qtserialbus-docs          @5.6.3          aqua/qt56
qt56-qtcanvas3d                @5.6.3          aqua/qt56
qt56-qtcanvas3d-docs           @5.6.3          aqua/qt56
qt56-qtgraphicaleffects        @5.6.3          aqua/qt56
qt56-qtgraphicaleffects-docs   @5.6.3          aqua/qt56
qt56-qtmultimedia              @5.6.3          aqua/qt56
qt56-qtmultimedia-docs         @5.6.3          aqua/qt56
qt56-qtscript                  @5.6.3          aqua/qt56
qt56-qtscript-docs             @5.6.3          aqua/qt56
qt56-qt3d                      @5.6.3          aqua/qt56
qt56-qt3d-docs                 @5.6.3          aqua/qt56
qt56-qtconnectivity            @5.6.3          aqua/qt56
qt56-qtconnectivity-docs       @5.6.3          aqua/qt56
qt56-qtwebview                 @5.6.3          aqua/qt56
